"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
2020-12-28,"Brussels",NA,"18+",NA,56,0
2020-12-28,"Flanders",NA,"18+",NA,123,0
2020-12-28,"Wallonia",NA,"18+",NA,119,0
2020-12-29,"Flanders",NA,"18+",NA,1,0
2020-12-30,"Brussels",NA,"18+",NA,5,0
2020-12-30,"Flanders",NA,"18+",NA,461,0
2020-12-30,"Wallonia",NA,"18+",NA,1,0
2020-12-31,"Flanders",NA,"18+",NA,9,0
2021-01-01,"Flanders",NA,"18+",NA,9,0
2021-01-04,"Flanders",NA,"18+",NA,1,0
2021-01-05,"Brussels",NA,"18+",NA,575,0
2021-01-05,"Flanders",NA,"18+",NA,33,0
2021-01-05,NA,NA,"18+",NA,1,0
2021-01-05,"Wallonia",NA,"18+",NA,889,0
2021-01-06,"Brussels",NA,"18+",NA,983,0
2021-01-06,"Flanders",NA,"18+",NA,714,0
2021-01-06,NA,NA,"18+",NA,19,0
2021-01-06,"Wallonia",NA,"18+",NA,1915,0
2021-01-06,"Wallonia",NA,"<18",NA,2,0
2021-01-07,"Brussels",NA,"18+",NA,857,0
2021-01-07,"Flanders",NA,"18+",NA,2134,0
2021-01-07,NA,NA,"18+",NA,44,0
2021-01-07,"Wallonia",NA,"18+",NA,4803,0
2021-01-07,"Wallonia",NA,"<18",NA,3,0
2021-01-08,"Brussels",NA,"18+",NA,1218,0
2021-01-08,"Flanders",NA,"18+",NA,2859,0
2021-01-08,NA,NA,"18+",NA,14,0
2021-01-08,"Wallonia",NA,"18+",NA,4873,0
2021-01-08,"Flanders",NA,"<18",NA,1,0
2021-01-08,"Wallonia",NA,"<18",NA,1,0
2021-01-09,"Brussels",NA,"18+",NA,1,0
2021-01-09,"Flanders",NA,"18+",NA,3069,0
2021-01-09,"Wallonia",NA,"18+",NA,36,0
2021-01-09,"Flanders",NA,"<18",NA,1,0
2021-01-10,"Brussels",NA,"18+",NA,11,0
2021-01-10,"Flanders",NA,"18+",NA,346,0
2021-01-10,"Wallonia",NA,"18+",NA,36,0
2021-01-11,"Brussels",NA,"18+",NA,10,0
2021-01-11,"Flanders",NA,"18+",NA,3670,0
2021-01-11,NA,NA,"18+",NA,29,0
2021-01-11,"Wallonia",NA,"18+",NA,1639,0
2021-01-11,"Wallonia",NA,"<18",NA,2,0
2021-01-12,"Brussels",NA,"18+",NA,976,0
2021-01-12,"Flanders",NA,"18+",NA,7545,0
2021-01-12,NA,NA,"18+",NA,71,0
2021-01-12,"Wallonia",NA,"18+",NA,6096,0
2021-01-12,"Flanders",NA,"<18",NA,2,0
2021-01-12,"Wallonia",NA,"<18",NA,8,0
2021-01-13,"Brussels",NA,"18+",NA,2982,0
2021-01-13,"Flanders",NA,"18+",NA,9001,0
2021-01-13,NA,NA,"18+",NA,67,0
2021-01-13,"Wallonia",NA,"18+",NA,7489,0
2021-01-13,"Flanders",NA,"<18",NA,6,0
2021-01-13,"Wallonia",NA,"<18",NA,6,0
2021-01-14,"Brussels",NA,"18+",NA,1670,0
2021-01-14,"Flanders",NA,"18+",NA,11956,0
2021-01-14,NA,NA,"18+",NA,48,0
2021-01-14,"Wallonia",NA,"18+",NA,6487,0
2021-01-14,"Brussels",NA,"<18",NA,1,0
2021-01-14,"Flanders",NA,"<18",NA,4,0
2021-01-14,"Wallonia",NA,"<18",NA,8,0
2021-01-15,"Brussels",NA,"18+",NA,774,0
2021-01-15,"Flanders",NA,"18+",NA,13837,0
2021-01-15,NA,NA,"18+",NA,52,0
2021-01-15,"Wallonia",NA,"18+",NA,6214,0
2021-01-15,"Flanders",NA,"<18",NA,7,0
2021-01-15,"Wallonia",NA,"<18",NA,5,0
2021-01-16,"Brussels",NA,"18+",NA,7,0
2021-01-16,"Flanders",NA,"18+",NA,4352,0
2021-01-16,"Wallonia",NA,"18+",NA,302,0
2021-01-16,"Flanders",NA,"<18",NA,6,0
2021-01-17,"Brussels",NA,"18+",NA,4,0
2021-01-17,"Flanders",NA,"18+",NA,2732,0
2021-01-17,NA,NA,"18+",NA,4,0
2021-01-17,"Flanders",NA,"<18",NA,6,0
2021-01-18,"Brussels",NA,"18+",NA,107,0
2021-01-18,"Flanders",NA,"18+",NA,5194,109
2021-01-18,NA,NA,"18+",NA,30,0
2021-01-18,"Wallonia",NA,"18+",NA,3753,0
2021-01-18,"Flanders",NA,"<18",NA,19,0
2021-01-18,"Wallonia",NA,"<18",NA,7,0
2021-01-19,"Brussels",NA,"18+",NA,1135,51
2021-01-19,"Flanders",NA,"18+",NA,8336,9
2021-01-19,NA,NA,"18+",NA,17,0
2021-01-19,"Wallonia",NA,"18+",NA,4106,42
2021-01-19,"Flanders",NA,"<18",NA,63,0
2021-01-19,"Wallonia",NA,"<18",NA,3,0
2021-01-20,"Brussels",NA,"18+",NA,639,0
2021-01-20,"Flanders",NA,"18+",NA,9621,84
2021-01-20,NA,NA,"18+",NA,23,0
2021-01-20,"Wallonia",NA,"18+",NA,3668,0
2021-01-20,"Flanders",NA,"<18",NA,59,0
2021-01-20,"Wallonia",NA,"<18",NA,2,0
2021-01-21,"Brussels",NA,"18+",NA,278,0
2021-01-21,"Flanders",NA,"18+",NA,8122,23
2021-01-21,NA,NA,"18+",NA,9,0
2021-01-21,"Wallonia",NA,"18+",NA,3855,55
2021-01-21,"Brussels",NA,"<18",NA,2,0
2021-01-21,"Flanders",NA,"<18",NA,63,0
2021-01-21,NA,NA,"<18",NA,1,0
2021-01-22,"Wallonia",NA,"<18",NA,9,0
2021-01-22,"Brussels",NA,"18+",NA,349,0
2021-01-22,"Flanders",NA,"18+",NA,6598,35
2021-01-22,NA,NA,"18+",NA,2,0
2021-01-22,"Wallonia",NA,"18+",NA,3498,0
2021-01-22,"Brussels",NA,"<18",NA,2,0
2021-01-22,"Flanders",NA,"<18",NA,30,0
2021-01-22,NA,NA,"<18",NA,0,0
2021-01-22,"Wallonia",NA,"<18",NA,1,0
